timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731096571315,1166,CARGA-1,200,OK,Thread Group 1-92,text,true,,2182,185,16,20,https://reqres.in/api/users?page=2,1166,0,1096
1731096536135,37337,CARGA,200,OK,Thread Group 1-100,text,true,,3155,370,15,18,https://reqres.in/api/users?page=2,1103,0,1047
1731096536135,1103,CARGA-0,301,Moved Permanently,Thread Group 1-100,text,true,,974,185,15,18,http://reqres.in/api/users?page=2,1103,0,1047
1731096537238,36234,CARGA-1,200,OK,Thread Group 1-100,text,true,,2181,185,15,18,https://reqres.in/api/users?page=2,36234,0,36167
1731096530135,43379,CARGA,200,OK,Thread Group 1-94,text,true,,3145,370,14,17,https://reqres.in/api/users?page=2,36175,0,36109
1731096530135,36175,CARGA-0,301,Moved Permanently,Thread Group 1-94,text,true,,972,185,14,17,http://reqres.in/api/users?page=2,36175,0,36109
1731096566310,7204,CARGA-1,200,OK,Thread Group 1-94,text,true,,2173,185,14,17,https://reqres.in/api/users?page=2,7204,0,7125
1731096516134,57396,CARGA,200,OK,Thread Group 1-80,text,true,,3145,370,13,16,https://reqres.in/api/users?page=2,57217,0,57161
1731096516134,57217,CARGA-0,301,Moved Permanently,Thread Group 1-80,text,true,,972,185,13,16,http://reqres.in/api/users?page=2,57217,0,57161
1731096573351,179,CARGA-1,200,OK,Thread Group 1-80,text,true,,2173,185,13,16,https://reqres.in/api/users?page=2,179,0,112
1731096514134,60365,CARGA,200,OK,Thread Group 1-78,text,true,,3149,370,12,15,https://reqres.in/api/users?page=2,57193,0,57137
1731096514134,57193,CARGA-0,301,Moved Permanently,Thread Group 1-78,text,true,,968,185,12,15,http://reqres.in/api/users?page=2,57193,0,57137
1731096571328,3171,CARGA-1,200,OK,Thread Group 1-78,text,true,,2181,185,12,15,https://reqres.in/api/users?page=2,3171,0,3111
1731096531134,43373,CARGA,200,OK,Thread Group 1-95,text,true,,3151,370,11,14,https://reqres.in/api/users?page=2,15132,0,15075
1731096531134,15132,CARGA-0,301,Moved Permanently,Thread Group 1-95,text,true,,970,185,11,14,http://reqres.in/api/users?page=2,15132,0,15075
1731096546266,28241,CARGA-1,200,OK,Thread Group 1-95,text,true,,2181,185,11,14,https://reqres.in/api/users?page=2,28241,0,28173
1731096510135,64394,CARGA,200,OK,Thread Group 1-74,text,true,,3157,370,10,13,https://reqres.in/api/users?page=2,57222,0,57162
1731096510135,57222,CARGA-0,301,Moved Permanently,Thread Group 1-74,text,true,,976,185,10,13,http://reqres.in/api/users?page=2,57222,0,57162
1731096567357,7172,CARGA-1,200,OK,Thread Group 1-74,text,true,,2181,185,10,13,https://reqres.in/api/users?page=2,7172,0,7109
1731096519134,56382,CARGA,200,OK,Thread Group 1-83,text,true,,3145,370,9,11,https://reqres.in/api/users?page=2,49192,0,49124
1731096519134,49192,CARGA-0,301,Moved Permanently,Thread Group 1-83,text,true,,972,185,9,11,http://reqres.in/api/users?page=2,49192,0,49124
1731096568327,7189,CARGA-1,200,OK,Thread Group 1-83,text,true,,2173,185,9,11,https://reqres.in/api/users?page=2,7189,0,7125
1731096526134,49396,CARGA,200,OK,Thread Group 1-90,text,true,,3139,370,8,10,https://reqres.in/api/users?page=2,42192,0,42130
1731096526134,42192,CARGA-0,301,Moved Permanently,Thread Group 1-90,text,true,,966,185,8,10,http://reqres.in/api/users?page=2,42192,0,42130
1731096568327,7203,CARGA-1,200,OK,Thread Group 1-90,text,true,,2173,185,8,10,https://reqres.in/api/users?page=2,7203,0,7125
1731096517137,58405,CARGA,200,OK,Thread Group 1-81,text,true,,3147,370,7,9,https://reqres.in/api/users?page=2,57246,0,57179
1731096517137,57246,CARGA-0,301,Moved Permanently,Thread Group 1-81,text,true,,966,185,7,9,http://reqres.in/api/users?page=2,57246,0,57179
1731096574383,1159,CARGA-1,200,OK,Thread Group 1-81,text,true,,2181,185,7,9,https://reqres.in/api/users?page=2,1159,0,1098
1731096513133,63115,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-77,text,false,,2660,0,6,8,http://reqres.in/api/users?page=2,0,0,63115
1731096512134,64406,CARGA,200,OK,Thread Group 1-76,text,true,,3153,370,5,7,https://reqres.in/api/users?page=2,57231,0,57179
1731096512134,57231,CARGA-0,301,Moved Permanently,Thread Group 1-76,text,true,,972,185,5,7,http://reqres.in/api/users?page=2,57231,0,57179
1731096569366,7174,CARGA-1,200,OK,Thread Group 1-76,text,true,,2181,185,5,7,https://reqres.in/api/users?page=2,7174,0,7110
1731096534144,43367,CARGA,200,OK,Thread Group 1-98,text,true,,3141,370,4,5,https://reqres.in/api/users?page=2,28144,0,28091
1731096534144,28144,CARGA-0,301,Moved Permanently,Thread Group 1-98,text,true,,968,185,4,5,http://reqres.in/api/users?page=2,28144,0,28091
1731096562288,15223,CARGA-1,200,OK,Thread Group 1-98,text,true,,2173,185,4,5,https://reqres.in/api/users?page=2,15223,0,15147
1731096529135,51364,CARGA,200,OK,Thread Group 1-93,text,true,,3155,370,3,3,https://reqres.in/api/users?page=2,36176,0,36113
1731096529135,36176,CARGA-0,301,Moved Permanently,Thread Group 1-93,text,true,,974,185,3,3,http://reqres.in/api/users?page=2,36176,0,36113
1731096565311,15188,CARGA-1,200,OK,Thread Group 1-93,text,true,,2181,185,3,3,https://reqres.in/api/users?page=2,15188,0,15121
1731096522136,60439,CARGA,200,OK,Thread Group 1-86,text,true,,3147,370,2,2,https://reqres.in/api/users?page=2,45248,0,45175
1731096522136,45248,CARGA-0,301,Moved Permanently,Thread Group 1-86,text,true,,966,185,2,2,http://reqres.in/api/users?page=2,45248,0,45175
1731096567384,15191,CARGA-1,200,OK,Thread Group 1-86,text,true,,2181,185,2,2,https://reqres.in/api/users?page=2,15191,0,15125
1731096518139,64436,CARGA,200,OK,Thread Group 1-82,text,true,,3153,370,2,2,https://reqres.in/api/users?page=2,49218,0,49151
1731096518139,49218,CARGA-0,301,Moved Permanently,Thread Group 1-82,text,true,,972,185,2,2,http://reqres.in/api/users?page=2,49218,0,49151
1731096567357,15218,CARGA-1,200,OK,Thread Group 1-82,text,true,,2181,185,2,2,https://reqres.in/api/users?page=2,15218,0,15139
